week_start,store,category,price,discount_pct,marketing_spend,competitor_price_idx,avg_temp_c,is_holiday,stockout
2024-12-30,Store_A,Essentials,7.55,0,2025.58,1,2.7,1,0
2025-01-06,Store_A,Essentials,7.92,0,1809.63,0.998,2,0,0
2025-01-13,Store_A,Essentials,7.53,0,2126.05,0.993,2.7,0,0
2025-01-20,Store_A,Essentials,7.49,0,1723.11,0.998,3.4,0,0
2025-01-27,Store_A,Essentials,7.76,12.8,3332.03,1.009,2.9,0,0
2025-02-03,Store_A,Essentials,7.92,0,2151.06,1.031,4.5,0,0
2025-02-10,Store_A,Essentials,8.26,0,2145.47,1.008,3.2,0,0
2025-02-17,Store_A,Essentials,7.86,0,2099.91,1.018,6.4,0,0
2024-12-30,Store_A,Beverages,4.48,0,4171.74,0.988,1.6,1,0
2025-01-06,Store_A,Beverages,4.61,0,3473.25,0.988,0.7,0,0
2025-01-13,Store_A,Beverages,4.58,0,3071.6,0.982,2,0,0
2025-01-20,Store_A,Beverages,4.77,0,3527.06,0.972,0.8,0,0
2025-01-27,Store_A,Beverages,4.6,0,3829.56,0.968,1.2,0,0
2025-02-03,Store_A,Beverages,4.65,0,3689.17,0.983,4.2,0,0
2025-02-10,Store_A,Beverages,4.63,12.1,5132.53,0.987,4.2,0,0
2025-02-17,Store_A,Beverages,4.82,19.5,4994.38,0.984,2.8,0,0
2024-12-30,Store_A,Snacks,3.86,0,4257.16,1,2.8,1,0
2025-01-06,Store_A,Snacks,3.81,0,3041.23,1.005,2.2,0,0
2025-01-13,Store_A,Snacks,3.84,0,3541.09,1.01,4.1,0,0
2025-01-20,Store_A,Snacks,3.94,0,3492.96,1.016,3.8,0,0
2025-01-27,Store_A,Snacks,3.81,0,3787.21,1.007,7.1,0,0
2025-02-03,Store_A,Snacks,3.84,0,3714.47,1.022,5,0,0
2025-02-10,Store_A,Snacks,3.92,0,3068.02,1.024,4.1,0,0
2025-02-17,Store_A,Snacks,3.95,0,3916.68,1.019,6.8,0,0
2024-12-30,Store_A,HomeCare,11.9,0,2087.69,0.998,0.7,1,0
2025-01-06,Store_A,HomeCare,12,0,2047.77,1.011,1.4,0,0
2025-01-13,Store_A,HomeCare,11.8,8,3172.2,1.005,4.6,0,0
2025-01-20,Store_A,HomeCare,12.7,0,1880.64,1.008,2,0,0
2025-01-27,Store_A,HomeCare,12.72,0,1952.34,0.998,2.8,0,0
2025-02-03,Store_A,HomeCare,12.47,0,1791.84,0.999,1.9,0,0
2025-02-10,Store_A,HomeCare,12.19,0,1768.23,0.992,4,0,0
2025-02-17,Store_A,HomeCare,12.03,0,2011.38,0.992,4.8,0,0
2024-12-30,Store_A,Seasonal,18.23,0,4520.69,1.006,-0.1,1,0
2025-01-06,Store_A,Seasonal,18.88,0,3359.83,0.999,0.6,0,0
2025-01-13,Store_A,Seasonal,18.43,0,3816.75,1.009,2.8,0,0
2025-01-20,Store_A,Seasonal,18.5,0,3773.1,1.016,1.8,0,0
2025-01-27,Store_A,Seasonal,18.43,9.3,4757.06,1.009,1.6,0,0
2025-02-03,Store_A,Seasonal,18.3,18,4903.11,1.032,0.7,0,0
2025-02-10,Store_A,Seasonal,18.76,0,2989.24,1.034,6.2,0,0
2025-02-17,Store_A,Seasonal,18.45,0,3363.56,1.041,8.2,0,0
2024-12-30,Store_B,Essentials,7.49,15.2,3525.72,1.002,0.8,1,0
2025-01-06,Store_B,Essentials,7.37,0,1734.24,1.004,-1.7,0,0
2025-01-13,Store_B,Essentials,7.53,0,1916.45,0.988,0.9,0,0
2025-01-20,Store_B,Essentials,7.67,0,2111.91,0.976,1.9,0,0
2025-01-27,Store_B,Essentials,7.61,0,1684.19,0.973,-1.8,0,0
2025-02-03,Store_B,Essentials,7.85,0,2040.75,0.961,2.5,0,0
2025-02-10,Store_B,Essentials,7.71,0,1942.61,0.969,1.6,0,0
2025-02-17,Store_B,Essentials,7.92,0,2087.08,0.981,0.3,0,0
2024-12-30,Store_B,Beverages,4.7,0,3840.06,1.011,-1.9,1,0
2025-01-06,Store_B,Beverages,4.56,10.3,4442.12,1.006,-1.8,0,0
2025-01-13,Store_B,Beverages,4.49,0,3418.03,1,-1.4,0,0
2025-01-20,Store_B,Beverages,4.58,0,3281.3,1.001,-0.7,0,0
2025-01-27,Store_B,Beverages,4.66,7.5,4713.88,1.003,-0.3,0,0
2025-02-03,Store_B,Beverages,4.61,0,3711.1,1.02,2.8,0,0
2025-02-10,Store_B,Beverages,4.66,0,3084.42,1.02,1.9,0,0
2025-02-17,Store_B,Beverages,4.61,0,3091.94,1.013,1.3,0,0
2024-12-30,Store_B,Snacks,3.87,0,3677.83,0.999,1,1,0
2025-01-06,Store_B,Snacks,3.77,0,3373.65,0.994,-1.8,0,0
2025-01-13,Store_B,Snacks,3.89,0,3484.11,0.989,2.4,0,0
2025-01-20,Store_B,Snacks,3.95,15.3,4203.91,0.972,0.4,0,0
2025-01-27,Store_B,Snacks,3.83,0,3481.01,0.974,-0.3,0,0
2025-02-03,Store_B,Snacks,3.74,0,3699.13,0.969,2.3,0,0
2025-02-10,Store_B,Snacks,3.96,0,3317.54,0.957,3.9,0,0
2025-02-17,Store_B,Snacks,3.75,0,3113.67,0.948,2.9,0,0
2024-12-30,Store_B,HomeCare,12.43,0,2423.51,1.011,0.6,1,0
2025-01-06,Store_B,HomeCare,12.31,0,1751.44,1.017,0,0,0
2025-01-13,Store_B,HomeCare,12.29,0,1975.67,1.008,-2.3,0,0
2025-01-20,Store_B,HomeCare,12.1,0,2049.67,1.013,0.6,0,0
