week_start,store,category,price,discount_pct,marketing_spend,competitor_price_idx,avg_temp_c,is_holiday,stockout,units_sold,revenue,lag_1_units,lag_1_revenue,lag_2_units,lag_2_revenue,lag_4_units,lag_4_revenue,lag_8_units,lag_8_revenue,ma_4_units,ma_8_units
2023-01-02,Store_A,Beverages,2.91,0,4423.9,0.997,3.3,0,0,774,2255.91,,,,,,,,,,
2023-01-09,Store_A,Beverages,3.11,20.7,5801.66,0.998,-0.4,0,0,1104,2721.6,774,2255.91,,,,,,,,
2023-01-16,Store_A,Beverages,3.04,0,3059.84,0.994,2.6,0,0,689,2093.7,1104,2721.6,774,2255.91,,,,,,
2023-01-23,Store_A,Beverages,3,7.6,4437.31,0.989,3.2,0,0,949,2634.08,689,2093.7,1104,2721.6,,,,,879,
2023-01-30,Store_A,Beverages,3.02,0,2911.63,1.004,0.1,0,0,583,1762.44,949,2634.08,689,2093.7,774,2255.91,,,831.25,
2023-02-06,Store_A,Beverages,3.04,0,3228.81,1.013,3.8,0,0,584,1777.49,583,1762.44,949,2634.08,1104,2721.6,,,701.25,
2023-02-13,Store_A,Beverages,2.96,10.7,5530.46,1.028,4.6,0,0,1021,2698.87,584,1777.49,583,1762.44,689,2093.7,,,784.25,
2023-02-20,Store_A,Beverages,3.15,0,2979.9,0.998,5.4,0,0,755,2379.6,1021,2698.87,584,1777.49,949,2634.08,,,735.75,807.375
2023-02-27,Store_A,Beverages,3.07,0,4219.39,1.001,7,0,0,818,2510.41,755,2379.6,1021,2698.87,583,1762.44,774,2255.91,794.5,812.875
2023-03-06,Store_A,Beverages,3.1,0,3835.02,1.01,7.9,0,0,806,2502.29,818,2510.41,755,2379.6,584,1777.49,1104,2721.6,850,775.625
2023-03-13,Store_A,Beverages,3.01,0,4697.18,0.999,5.4,0,0,1058,3188.85,806,2502.29,818,2510.41,1021,2698.87,689,2093.7,859.25,821.75
2023-03-20,Store_A,Beverages,3.13,8.7,4452.28,0.991,8.7,0,0,804,2294.06,1058,3188.85,806,2502.29,755,2379.6,949,2634.08,871.5,803.625
2023-03-27,Store_A,Beverages,3.21,0,3045.33,0.987,12.5,0,0,707,2271.03,804,2294.06,1058,3188.85,818,2510.41,583,1762.44,843.75,819.125
2023-04-03,Store_A,Beverages,3.22,0,4092.46,0.975,10.9,0,0,873,2813.94,707,2271.03,804,2294.06,806,2502.29,584,1777.49,860.5,855.25
2023-04-10,Store_A,Beverages,3.15,0,4475.42,0.971,10.9,0,0,716,2252.14,873,2813.94,707,2271.03,1058,3188.85,1021,2698.87,775,817.125
